"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"ENTERO","","","75","","2018-02-12 00:00:00","BAY#202.4_SL"
"COLI_E","","","<10","","2018-02-06 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2018-02-06 00:00:00","BAY#202.4_SL"
"ENTERO","","","<10","","2018-02-06 00:00:00","BAY#202.4_SL"
"COLI_E","","","20","","2018-02-05 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","613","","2018-02-05 00:00:00","BAY#202.4_SL"
"ENTERO","","","131","","2018-02-05 00:00:00","BAY#202.4_SL"
"COLI_E","","","52","","2018-01-29 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","86","","2018-01-29 00:00:00","BAY#202.4_SL"
"ENTERO","","","20","","2018-01-29 00:00:00","BAY#202.4_SL"
"COLI_E","","","31","","2018-01-22 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","556","","2018-01-22 00:00:00","BAY#202.4_SL"
"ENTERO","","","20","","2018-01-22 00:00:00","BAY#202.4_SL"
"COLI_E","","","<10","","2018-01-19 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2018-01-19 00:00:00","BAY#202.4_SL"
"ENTERO","","","20","","2018-01-19 00:00:00","BAY#202.4_SL"
"COLI_E","","","548","","2018-01-18 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","1291","","2018-01-18 00:00:00","BAY#202.4_SL"
"ENTERO","","","1354","","2018-01-18 00:00:00","BAY#202.4_SL"
"COLI_E","","","3448","","2018-01-17 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","3448","","2018-01-17 00:00:00","BAY#202.4_SL"
"ENTERO","","","226","","2018-01-17 00:00:00","BAY#202.4_SL"
"COLI_E","","","2382","","2018-01-16 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","3654","","2018-01-16 00:00:00","BAY#202.4_SL"
"ENTERO","","","4106","","2018-01-16 00:00:00","BAY#202.4_SL"
"COLI_E","","","41","","2018-01-10 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","327","","2018-01-10 00:00:00","BAY#202.4_SL"
"ENTERO","","","10","","2018-01-10 00:00:00","BAY#202.4_SL"
"COLI_E","","","359","","2018-01-09 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","3255","","2018-01-09 00:00:00","BAY#202.4_SL"
"ENTERO","","","160","","2018-01-09 00:00:00","BAY#202.4_SL"
"COLI_E","","","432","","2018-01-08 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","5172","","2018-01-08 00:00:00","BAY#202.4_SL"
"ENTERO","","","504","","2018-01-08 00:00:00","BAY#202.4_SL"
"COLI_E","","","63","","2018-01-02 00:00:00","BAY#202.4_SL"
"COLI_TOTAL","","","86","","2018-01-02 00:00:00","BAY#202.4_SL"
"ENTERO","","","10","","2018-01-02 00:00:00","BAY#202.4_SL"
"COLI_E","","","<10","","2018-03-26 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","<10","","2018-03-26 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-03-26 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-03-19 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","20","","2018-03-19 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-03-19 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-03-12 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2018-03-12 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-03-12 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-03-05 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","31","","2018-03-05 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-03-05 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-02-26 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","203","","2018-02-26 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-02-26 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-02-20 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2018-02-20 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-02-20 00:00:00","BAY#202.5_SL"
"COLI_E","","","10","","2018-02-12 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","41","","2018-02-12 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-02-12 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-02-05 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2018-02-05 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-02-05 00:00:00","BAY#202.5_SL"
"COLI_E","","","10","","2018-01-29 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","41","","2018-01-29 00:00:00","BAY#202.5_SL"
"ENTERO","","","20","","2018-01-29 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-01-22 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","201","","2018-01-22 00:00:00","BAY#202.5_SL"
"ENTERO","","","10","","2018-01-22 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-01-16 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","185","","2018-01-16 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-01-16 00:00:00","BAY#202.5_SL"
"COLI_E","","","10","","2018-01-11 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","160","","2018-01-11 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-01-11 00:00:00","BAY#202.5_SL"
"COLI_E","","","295","","2018-01-09 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","2247","","2018-01-09 00:00:00","BAY#202.5_SL"
"ENTERO","","","121","","2018-01-09 00:00:00","BAY#202.5_SL"
"COLI_E","","","794","","2018-01-08 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","",">24196","","2018-01-08 00:00:00","BAY#202.5_SL"
"ENTERO","","","910","","2018-01-08 00:00:00","BAY#202.5_SL"
"COLI_E","","","<10","","2018-01-02 00:00:00","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2018-01-02 00:00:00","BAY#202.5_SL"
"ENTERO","","","<10","","2018-01-02 00:00:00","BAY#202.5_SL"
"COLI_E","","","95","","2018-01-10 00:00:00","BAY#202_LAGOON"
"COLI_TOTAL","","","1246","","2018-01-10 00:00:00","BAY#202_LAGOON"
"ENTERO","","","75","","2018-01-10 00:00:00","BAY#202_LAGOON"
"COLI_E","","","602","","2018-01-09 00:00:00","BAY#202_LAGOON"
"COLI_TOTAL","","",">24196","","2018-01-09 00:00:00","BAY#202_LAGOON"
"ENTERO","","","1467","","2018-01-09 00:00:00","BAY#202_LAGOON"
"COLI_E","","","2064","","2018-01-08 00:00:00","BAY#202_LAGOON"
"COLI_TOTAL","","",">24196","","2018-01-08 00:00:00","BAY#202_LAGOON"
"ENTERO","","","2098","","2018-01-08 00:00:00","BAY#202_LAGOON"
"COLI_E","","","31","","2018-03-26 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","52","","2018-03-26 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-03-26 00:00:00","BAY#210.1_SL"
"COLI_E","","","20","","2018-03-19 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","52","","2018-03-19 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-03-19 00:00:00","BAY#210.1_SL"
"COLI_E","","","<10","","2018-03-12 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","97","","2018-03-12 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-03-12 00:00:00","BAY#210.1_SL"
"COLI_E","","","20","","2018-03-05 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","31","","2018-03-05 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-03-05 00:00:00","BAY#210.1_SL"
"COLI_E","","","<10","","2018-02-26 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","<10","","2018-02-26 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-02-26 00:00:00","BAY#210.1_SL"
"COLI_E","","","<10","","2018-02-20 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","52","","2018-02-20 00:00:00","BAY#210.1_SL"
"ENTERO","","","20","","2018-02-20 00:00:00","BAY#210.1_SL"
"COLI_E","","","10","","2018-02-12 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","63","","2018-02-12 00:00:00","BAY#210.1_SL"
"ENTERO","","","10","","2018-02-12 00:00:00","BAY#210.1_SL"
"COLI_E","","","31","","2018-02-05 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","41","","2018-02-05 00:00:00","BAY#210.1_SL"
"ENTERO","","","98","","2018-02-05 00:00:00","BAY#210.1_SL"
"COLI_E","","","31","","2018-01-29 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","86","","2018-01-29 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-01-29 00:00:00","BAY#210.1_SL"
"COLI_E","","","41","","2018-01-22 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","74","","2018-01-22 00:00:00","BAY#210.1_SL"
"ENTERO","","","10","","2018-01-22 00:00:00","BAY#210.1_SL"
"COLI_E","","","10","","2018-01-16 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","20","","2018-01-16 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-01-16 00:00:00","BAY#210.1_SL"
"COLI_E","","","295","","2018-01-09 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","1046","","2018-01-09 00:00:00","BAY#210.1_SL"
"ENTERO","","","20","","2018-01-09 00:00:00","BAY#210.1_SL"
"COLI_E","","","243","","2018-01-08 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","754","","2018-01-08 00:00:00","BAY#210.1_SL"
"ENTERO","","","131","","2018-01-08 00:00:00","BAY#210.1_SL"
"COLI_E","","","<10","","2018-01-02 00:00:00","BAY#210.1_SL"
"COLI_TOTAL","","","10","","2018-01-02 00:00:00","BAY#210.1_SL"
"ENTERO","","","<10","","2018-01-02 00:00:00","BAY#210.1_SL"
"COLI_E","","","10","","2018-03-27 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","98","","2018-03-27 00:00:00","BAY#211_SL"
"ENTERO","","","<10","","2018-03-27 00:00:00","BAY#211_SL"
"COLI_E","","","657","","2018-03-26 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","691","","2018-03-26 00:00:00","BAY#211_SL"
"ENTERO","","","<10","","2018-03-26 00:00:00","BAY#211_SL"
"COLI_E","","","41","","2018-03-19 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","135","","2018-03-19 00:00:00","BAY#211_SL"
"ENTERO","","","10","","2018-03-19 00:00:00","BAY#211_SL"
"COLI_E","","","41","","2018-03-12 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","145","","2018-03-12 00:00:00","BAY#211_SL"
"ENTERO","","","<10","","2018-03-12 00:00:00","BAY#211_SL"
"COLI_E","","","10","","2018-03-05 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","41","","2018-03-05 00:00:00","BAY#211_SL"
"ENTERO","","","<10","","2018-03-05 00:00:00","BAY#211_SL"
"COLI_E","","","86","","2018-02-27 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","135","","2018-02-27 00:00:00","BAY#211_SL"
"ENTERO","","","41","","2018-02-27 00:00:00","BAY#211_SL"
"COLI_E","","","465","","2018-02-26 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","512","","2018-02-26 00:00:00","BAY#211_SL"
"ENTERO","","","233","","2018-02-26 00:00:00","BAY#211_SL"
"COLI_E","","","41","","2018-02-20 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","98","","2018-02-20 00:00:00","BAY#211_SL"
"ENTERO","","","10","","2018-02-20 00:00:00","BAY#211_SL"
"COLI_E","","","20","","2018-02-12 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","41","","2018-02-12 00:00:00","BAY#211_SL"
"ENTERO","","","41","","2018-02-12 00:00:00","BAY#211_SL"
"COLI_E","","","<10","","2018-02-06 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","20","","2018-02-06 00:00:00","BAY#211_SL"
"ENTERO","","","<10","","2018-02-06 00:00:00","BAY#211_SL"
"COLI_E","","","20","","2018-02-05 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","52","","2018-02-05 00:00:00","BAY#211_SL"
"ENTERO","","","195","","2018-02-05 00:00:00","BAY#211_SL"
"COLI_E","","","<10","","2018-01-29 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","52","","2018-01-29 00:00:00","BAY#211_SL"
"ENTERO","","","<10","","2018-01-29 00:00:00","BAY#211_SL"
"COLI_E","","","31","","2018-01-22 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","63","","2018-01-22 00:00:00","BAY#211_SL"
"ENTERO","","","<10","","2018-01-22 00:00:00","BAY#211_SL"
"COLI_E","","","20","","2018-01-16 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","109","","2018-01-16 00:00:00","BAY#211_SL"
"ENTERO","","","10","","2018-01-16 00:00:00","BAY#211_SL"
"COLI_E","","","86","","2018-01-08 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","504","","2018-01-08 00:00:00","BAY#211_SL"
"ENTERO","","","63","","2018-01-08 00:00:00","BAY#211_SL"
"COLI_E","","","<10","","2018-01-02 00:00:00","BAY#211_SL"
"COLI_TOTAL","","","213","","2018-01-02 00:00:00","BAY#211_SL"
"ENTERO","","","10","","2018-01-02 00:00:00","BAY#211_SL"
"COLI_E","","","10","","2018-03-26 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","20","","2018-03-26 00:00:00","BAY#220_SL"
"ENTERO","","","10","","2018-03-26 00:00:00","BAY#220_SL"
"COLI_E","","","<10","","2018-03-19 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","31","","2018-03-19 00:00:00","BAY#220_SL"
"ENTERO","","","<10","","2018-03-19 00:00:00","BAY#220_SL"
"COLI_E","","","<10","","2018-03-12 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","41","","2018-03-12 00:00:00","BAY#220_SL"
"ENTERO","","","<10","","2018-03-12 00:00:00","BAY#220_SL"
"COLI_E","","","31","","2018-03-05 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","110","","2018-03-05 00:00:00","BAY#220_SL"
"ENTERO","","","<10","","2018-03-05 00:00:00","BAY#220_SL"
"COLI_E","","","41","","2018-02-26 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","7701","","2018-02-26 00:00:00","BAY#220_SL"
"ENTERO","","","31","","2018-02-26 00:00:00","BAY#220_SL"
"COLI_E","","","<10","","2018-02-20 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","52","","2018-02-20 00:00:00","BAY#220_SL"
"ENTERO","","","30","","2018-02-20 00:00:00","BAY#220_SL"
"COLI_E","","","20","","2018-02-12 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","63","","2018-02-12 00:00:00","BAY#220_SL"
"ENTERO","","","<10","","2018-02-12 00:00:00","BAY#220_SL"
"COLI_E","","","10","","2018-02-05 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","602","","2018-02-05 00:00:00","BAY#220_SL"
"ENTERO","","","<10","","2018-02-05 00:00:00","BAY#220_SL"
"COLI_E","","","<10","","2018-01-29 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","63","","2018-01-29 00:00:00","BAY#220_SL"
"ENTERO","","","10","","2018-01-29 00:00:00","BAY#220_SL"
"COLI_E","","","10","","2018-01-23 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","31","","2018-01-23 00:00:00","BAY#220_SL"
"ENTERO","","","41","","2018-01-23 00:00:00","BAY#220_SL"
"COLI_E","","","279","","2018-01-22 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","14136","","2018-01-22 00:00:00","BAY#220_SL"
"ENTERO","","","266","","2018-01-22 00:00:00","BAY#220_SL"
"COLI_E","","","30","","2018-01-16 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","173","","2018-01-16 00:00:00","BAY#220_SL"
"ENTERO","","","10","","2018-01-16 00:00:00","BAY#220_SL"
"COLI_E","","","288","","2018-01-10 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","4106","","2018-01-10 00:00:00","BAY#220_SL"
"ENTERO","","","41","","2018-01-10 00:00:00","BAY#220_SL"
"COLI_E","","",">24196","","2018-01-09 00:00:00","BAY#220_SL"
"COLI_TOTAL","","",">24196","","2018-01-09 00:00:00","BAY#220_SL"
"ENTERO","","","8164","","2018-01-09 00:00:00","BAY#220_SL"
"COLI_E","","",">24196","","2018-01-08 00:00:00","BAY#220_SL"
"COLI_TOTAL","","",">24196","","2018-01-08 00:00:00","BAY#220_SL"
"ENTERO","","",">24196","","2018-01-08 00:00:00","BAY#220_SL"
"COLI_E","","","<10","","2018-01-02 00:00:00","BAY#220_SL"
"COLI_TOTAL","","","41","","2018-01-02 00:00:00","BAY#220_SL"
"ENTERO","","","10","","2018-01-02 00:00:00","BAY#220_SL"
"COLI_E","","","31","","2018-03-27 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","75","","2018-03-27 00:00:00","BAY#300.1_SL"
"ENTERO","","","<10","","2018-03-27 00:00:00","BAY#300.1_SL"
"COLI_E","","","441","","2018-03-26 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","487","","2018-03-26 00:00:00","BAY#300.1_SL"
"ENTERO","","","10","","2018-03-26 00:00:00","BAY#300.1_SL"
"COLI_E","","","41","","2018-03-19 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","213","","2018-03-19 00:00:00","BAY#300.1_SL"
"ENTERO","","","41","","2018-03-19 00:00:00","BAY#300.1_SL"
"COLI_E","","","<10","","2018-03-12 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","62","","2018-03-12 00:00:00","BAY#300.1_SL"
"ENTERO","","","<10","","2018-03-12 00:00:00","BAY#300.1_SL"
"COLI_E","","","20","","2018-03-05 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","85","","2018-03-05 00:00:00","BAY#300.1_SL"
"ENTERO","","","31","","2018-03-05 00:00:00","BAY#300.1_SL"
"COLI_E","","","31","","2018-03-02 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","428","","2018-03-02 00:00:00","BAY#300.1_SL"
"ENTERO","","","41","","2018-03-02 00:00:00","BAY#300.1_SL"
"COLI_E","","","414","","2018-03-01 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","1935","","2018-03-01 00:00:00","BAY#300.1_SL"
"ENTERO","","","1664","","2018-03-01 00:00:00","BAY#300.1_SL"
"COLI_E","","","52","","2018-02-28 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","216","","2018-02-28 00:00:00","BAY#300.1_SL"
"ENTERO","","","206","","2018-02-28 00:00:00","BAY#300.1_SL"
"COLI_E","","","262","","2018-02-27 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","404","","2018-02-27 00:00:00","BAY#300.1_SL"
"ENTERO","","","110","","2018-02-27 00:00:00","BAY#300.1_SL"
"COLI_E","","","63","","2018-02-26 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","201","","2018-02-26 00:00:00","BAY#300.1_SL"
"ENTERO","","","241","","2018-02-26 00:00:00","BAY#300.1_SL"
"COLI_E","","","<10","","2018-02-20 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","<10","","2018-02-20 00:00:00","BAY#300.1_SL"
"ENTERO","","","<10","","2018-02-20 00:00:00","BAY#300.1_SL"
"COLI_E","","","<10","","2018-02-12 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","10","","2018-02-12 00:00:00","BAY#300.1_SL"
"ENTERO","","","<10","","2018-02-12 00:00:00","BAY#300.1_SL"
"COLI_E","","","31","","2018-02-05 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","85","","2018-02-05 00:00:00","BAY#300.1_SL"
"ENTERO","","","10","","2018-02-05 00:00:00","BAY#300.1_SL"
"COLI_E","","","<10","","2018-01-30 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","51","","2018-01-30 00:00:00","BAY#300.1_SL"
"ENTERO","","","10","","2018-01-30 00:00:00","BAY#300.1_SL"
"COLI_E","","","86","","2018-01-29 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","520","","2018-01-29 00:00:00","BAY#300.1_SL"
"ENTERO","","","132","","2018-01-29 00:00:00","BAY#300.1_SL"
"COLI_E","","","86","","2018-01-22 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","231","","2018-01-22 00:00:00","BAY#300.1_SL"
"ENTERO","","","63","","2018-01-22 00:00:00","BAY#300.1_SL"
"COLI_E","","","10","","2018-01-16 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","52","","2018-01-16 00:00:00","BAY#300.1_SL"
"ENTERO","","","10","","2018-01-16 00:00:00","BAY#300.1_SL"
"COLI_E","","","52","","2018-01-09 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","364","","2018-01-09 00:00:00","BAY#300.1_SL"
"ENTERO","","","86","","2018-01-09 00:00:00","BAY#300.1_SL"
"COLI_E","","","1850","","2018-01-08 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","12997","","2018-01-08 00:00:00","BAY#300.1_SL"
"ENTERO","","","3441","","2018-01-08 00:00:00","BAY#300.1_SL"
"COLI_E","","","10","","2018-01-02 00:00:00","BAY#300.1_SL"
"COLI_TOTAL","","","20","","2018-01-02 00:00:00","BAY#300.1_SL"
"ENTERO","","","20","","2018-01-02 00:00:00","BAY#300.1_SL"
"COLI_E","","","20","","2018-03-26 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","521","","2018-03-26 00:00:00","BAY#301.1_SL"
"ENTERO","","","<10","","2018-03-26 00:00:00","BAY#301.1_SL"
"COLI_E","","","31","","2018-03-19 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","441","","2018-03-19 00:00:00","BAY#301.1_SL"
"ENTERO","","","52","","2018-03-19 00:00:00","BAY#301.1_SL"
"COLI_E","","","52","","2018-03-12 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","1616","","2018-03-12 00:00:00","BAY#301.1_SL"
"ENTERO","","","31","","2018-03-12 00:00:00","BAY#301.1_SL"
"COLI_E","","","<10","","2018-03-05 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","833","","2018-03-05 00:00:00","BAY#301.1_SL"
"ENTERO","","","74","","2018-03-05 00:00:00","BAY#301.1_SL"
"COLI_E","","","20","","2018-02-27 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","97","","2018-02-27 00:00:00","BAY#301.1_SL"
"ENTERO","","","<10","","2018-02-27 00:00:00","BAY#301.1_SL"
"COLI_E","","","355","","2018-02-26 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","24196","","2018-02-26 00:00:00","BAY#301.1_SL"
"ENTERO","","","216","","2018-02-26 00:00:00","BAY#301.1_SL"
"COLI_E","","","31","","2018-02-20 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","1274","","2018-02-20 00:00:00","BAY#301.1_SL"
"ENTERO","","","<10","","2018-02-20 00:00:00","BAY#301.1_SL"
"COLI_E","","","<10","","2018-02-12 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","355","","2018-02-12 00:00:00","BAY#301.1_SL"
"ENTERO","","","<10","","2018-02-12 00:00:00","BAY#301.1_SL"
"COLI_E","","","41","","2018-02-05 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","457","","2018-02-05 00:00:00","BAY#301.1_SL"
"ENTERO","","","31","","2018-02-05 00:00:00","BAY#301.1_SL"
"COLI_E","","","20","","2018-01-30 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","744","","2018-01-30 00:00:00","BAY#301.1_SL"
"ENTERO","","","61","","2018-01-30 00:00:00","BAY#301.1_SL"
"COLI_E","","","63","","2018-01-29 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","723","","2018-01-29 00:00:00","BAY#301.1_SL"
"ENTERO","","","169","","2018-01-29 00:00:00","BAY#301.1_SL"
"COLI_E","","","131","","2018-01-22 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","1187","","2018-01-22 00:00:00","BAY#301.1_SL"
"ENTERO","","","<10","","2018-01-22 00:00:00","BAY#301.1_SL"
"COLI_E","","","20","","2018-01-16 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","616","","2018-01-16 00:00:00","BAY#301.1_SL"
"ENTERO","","","<10","","2018-01-16 00:00:00","BAY#301.1_SL"
"COLI_E","","","63","","2018-01-13 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","3448","","2018-01-13 00:00:00","BAY#301.1_SL"
"ENTERO","","","84","","2018-01-13 00:00:00","BAY#301.1_SL"
"COLI_E","","","548","","2018-01-12 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","","24196","","2018-01-12 00:00:00","BAY#301.1_SL"
"ENTERO","","","496","","2018-01-12 00:00:00","BAY#301.1_SL"
"COLI_E","","","959","","2018-01-11 00:00:00","BAY#301.1_SL"
"COLI_TOTAL","","",">24196","","2018-01-11 00:00:00","BAY#301.1_SL"
"ENTERO","","","882","","2018-01-11 00:00:00","BAY#301.1_SL"
"COLI_E","","","3076","","2018-01-10 00:00:00","BAY#301.1_SL"
